Year,Quarter,Sector,ROE
2010,Q2,IMM,-9.41
2010,Q2,PAPER,6.18
2010,Q2,PETRO,13.57
2010,Q2,PKG,14.99
2010,Q2,STEEL,
2010,Q2,CONMAT,18.44
2010,Q2,PROP,12.66
2010,Q2,PF&REIT,
2010,Q2,CONS,
2010,Q2,ENERG,15.4
2010,Q2,MINE,11.15
2010,Q2,COMM,19.07
2010,Q2,HELTH,16.98
2010,Q2,MEDIA,20.02
2010,Q2,PROF,-8.97
2010,Q2,TOURISM,-2.86
2010,Q2,TRANS,7.82
2010,Q2,ETRON,16.71
2010,Q2,ICT,15.27
2010,Q2,MAIIND,9.0
2010,Q2,MEDSIZE,9.0
2010,Q3,AGRO,
2010,Q3,CONSUMP,
2010,Q3,FINCIAL,
2010,Q3,INDUS,
2010,Q3,PROPCON,
2010,Q3,RESOURC,
2010,Q3,SERVICE,
2010,Q3,TECH,
2010,Q3,AGRI,23.93
2010,Q3,FOOD,19.87
2010,Q3,FASHION,9.36
2010,Q3,HOME,8.77
2010,Q3,PERSON,15.36
2010,Q3,BANK,12.55
2010,Q3,FIN,9.06
2010,Q3,INSUR,15.12
2010,Q3,AUTO,7.64
2010,Q3,IMM,-7.63
2010,Q3,PAPER,6.03
2010,Q3,PETRO,14.67
2010,Q3,PKG,18.46
2010,Q3,STEEL,
2010,Q3,CONMAT,17.19
2010,Q3,PROP,12.0
2010,Q3,PF&REIT,
2010,Q3,CONS,
2010,Q3,ENERG,16.65
2010,Q3,MINE,9.01
2010,Q3,COMM,18.72
2010,Q3,HELTH,17.49
2010,Q3,MEDIA,20.85
2010,Q3,PROF,-7.11
2010,Q3,TOURISM,-3.76
2010,Q3,TRANS,9.89
2010,Q3,ETRON,18.72
2010,Q3,ICT,17.32
2010,Q3,MAIIND,11.2
2010,Q3,MEDSIZE,11.2
2010,Q4,AGRO,
2010,Q4,CONSUMP,
2010,Q4,FINCIAL,
2010,Q4,INDUS,
2010,Q4,PROPCON,
2010,Q4,RESOURC,
2010,Q4,SERVICE,
2010,Q4,TECH,
2010,Q4,AGRI,21.27
2010,Q4,FOOD,17.78
2010,Q4,FASHION,9.32
2010,Q4,HOME,11.23
2010,Q4,PERSON,14.36
2010,Q4,BANK,12.85
2010,Q4,FIN,10.97
2010,Q4,INSUR,16.31
2010,Q4,AUTO,9.61
2010,Q4,IMM,-9.45
2010,Q4,PAPER,5.7
2010,Q4,PETRO,16.22
2010,Q4,PKG,26.87
2010,Q4,STEEL,
2010,Q4,CONMAT,19.32
2010,Q4,PROP,12.55
2010,Q4,PF&REIT,
2010,Q4,CONS,
2010,Q4,ENERG,18.28
2010,Q4,MINE,-8.85
2010,Q4,COMM,18.41
2010,Q4,HELTH,16.86
2010,Q4,MEDIA,21.27
2010,Q4,PROF,-11.28
2010,Q4,TOURISM,2.96
2010,Q4,TRANS,8.39
2010,Q4,ETRON,17.65
2010,Q4,ICT,15.24
2010,Q4,MAIIND,12.65
2010,Q4,MEDSIZE,12.65
2012,Q2,AGRO,
2012,Q2,CONSUMP,
2012,Q2,FINCIAL,
2012,Q2,INDUS,
2012,Q2,PROPCON,
2012,Q2,RESOURC,
2012,Q2,SERVICE,
2012,Q2,TECH,
2012,Q2,AGRI,5.59
2012,Q2,FOOD,23.84
2012,Q2,FASHION,3.57
2012,Q2,HOME,11.67
2012,Q2,PERSON,9.87
2012,Q2,BANK,14.63
2012,Q2,FIN,6.01
2012,Q2,INSUR,-4.76
2012,Q2,AUTO,2.71
2012,Q2,IMM,14.22
2012,Q2,PAPER,6.55
2012,Q2,PETRO,8.46
2012,Q2,PKG,9.86
2012,Q2,STEEL,-16.19
2012,Q2,CONMAT,14.72
2012,Q2,PROP,10.23
2012,Q2,PF&REIT,
2012,Q2,CONS,
2012,Q2,ENERG,13.91
2012,Q2,MINE,-9.54
2012,Q2,COMM,23.55
2012,Q2,HELTH,21.2
2012,Q2,MEDIA,21.15
2012,Q2,PROF,-10.77
2012,Q2,TOURISM,0.74
2012,Q2,TRANS,7.49
2012,Q2,ETRON,3.12
2012,Q2,ICT,29.39
2012,Q2,MAIIND,14.54
2012,Q2,MEDSIZE,14.54
2012,Q1,AGRO,
2012,Q1,CONSUMP,
