Month,Sector,PE,ROE
2010-06,ETRON,9.91,16.71
2010-06,FASHION,8.84,10.7
2010-06,FIN,11.65,7.62
2010-06,FINCIAL,,
2010-06,FOOD,12.28,20.74
2010-06,HELTH,14.57,16.98
2010-06,HOME,10.3,5.75
2010-06,ICT,14.47,15.27
2010-06,IMM,,-9.41
2010-06,INDUS,,
2010-06,INSUR,17.97,15.63
2010-06,MAIIND,,9.0
2010-06,MEDIA,16.52,20.02
2010-06,MEDSIZE,18.86,9.0
2010-06,MINE,12.18,11.15
2010-06,PAPER,16.12,6.18
2010-06,PERSON,9.43,16.21
2010-06,PETRO,13.72,13.57
2010-06,PF&REIT,,
2010-06,PKG,8.35,14.99
2010-06,PROF,,-8.97
2010-06,PROP,11.53,12.66
2010-06,PROPCON,,
2010-06,RESOURC,,
2010-06,SERVICE,,
2010-06,STEEL,,
2010-06,TECH,,
2010-06,TOURISM,,-2.86
2010-06,TRANS,14.88,7.82
2010-07,AGRI,9.75,23.93
2010-07,AGRO,,
2010-07,AUTO,36.03,7.64
2010-07,BANK,14.2,12.55
2010-07,COMM,18.73,18.72
2010-07,CONMAT,12.39,17.19
2010-07,CONS,,
2010-07,CONSUMP,,
2010-07,ENERG,10.65,16.65
2010-07,ETRON,10.8,18.72
2010-07,FASHION,9.39,9.36
2010-07,FIN,12.38,9.06
2010-07,FINCIAL,,
2010-07,FOOD,13.87,19.87
2010-07,HELTH,14.54,17.49
2010-07,HOME,10.96,8.77
2010-07,ICT,16.06,17.32
2010-07,IMM,,-7.63
2010-07,INDUS,,
2010-07,INSUR,19.27,15.12
2010-07,MAIIND,,11.2
2010-07,MEDIA,17.87,20.85
2010-07,MEDSIZE,20.09,11.2
2010-07,MINE,12.44,9.01
2010-07,PAPER,19.38,6.03
2010-07,PERSON,10.43,15.36
2010-07,PETRO,13.65,14.67
2010-07,PF&REIT,,
2010-07,PKG,9.88,18.46
2010-07,PROF,,-7.11
2010-07,PROP,13.21,12.0
2010-07,PROPCON,,
2010-07,RESOURC,,
2010-07,SERVICE,,
2010-07,STEEL,,
2010-07,TECH,,
2010-07,TOURISM,,-3.76
2010-07,TRANS,16.48,9.89
2010-08,AGRI,8.22,23.93
2010-08,AGRO,,
2010-08,AUTO,24.35,7.64
2010-08,BANK,15.36,12.55
2010-08,COMM,21.21,18.72
2010-08,CONMAT,12.67,17.19
2010-08,CONS,,
2010-08,CONSUMP,,
2010-08,ENERG,11.99,16.65
2010-08,ETRON,9.21,18.72
2010-08,FASHION,8.95,9.36
2010-08,FIN,13.31,9.06
2010-08,FINCIAL,,
2010-08,FOOD,14.66,19.87
2010-08,HELTH,15.77,17.49
2010-08,HOME,17.09,8.77
2010-08,ICT,17.57,17.32
2010-08,IMM,,-7.63
2010-08,INDUS,,
2010-08,INSUR,17.07,15.12
2010-08,MAIIND,,11.2
2010-08,MEDIA,16.91,20.85
2010-08,MEDSIZE,21.12,11.2
2010-08,MINE,10.15,9.01
2010-08,PAPER,16.96,6.03
2010-08,PERSON,9.85,15.36
2010-08,PETRO,14.37,14.67
2010-08,PF&REIT,,
2010-08,PKG,11.25,18.46
2010-08,PROF,,-7.11
2010-08,PROP,14.97,12.0
2010-08,PROPCON,,
2010-08,RESOURC,,
2010-08,SERVICE,,
2010-08,STEEL,,
2010-08,TECH,,
2010-08,TOURISM,,-3.76
2010-08,TRANS,10.55,9.89
2010-09,AGRI,8.1,23.93
2010-09,AGRO,,
2010-09,AUTO,24.4,7.64
2010-09,BANK,15.9,12.55
2010-09,COMM,22.33,18.72
2010-09,CONMAT,14.39,17.19
2010-09,CONS,,
2010-09,CONSUMP,,
2010-09,ENERG,13.18,16.65
2010-09,ETRON,8.94,18.72
2010-09,FASHION,9.14,9.36
2010-09,FIN,13.92,9.06
2010-09,FINCIAL,,
2010-09,FOOD,14.74,19.87
2010-09,HELTH,18.16,17.49
2010-09,HOME,14.7,8.77
2010-09,ICT,17.21,17.32
2010-09,IMM,,-7.63
2010-09,INDUS,,
2010-09,INSUR,16.85,15.12
2010-09,MAIIND,,11.2
2010-09,MEDIA,19.24,20.85
2010-09,MEDSIZE,20.86,11.2
2010-09,MINE,9.97,9.01
2010-09,PAPER,16.2,6.03
2010-09,PERSON,10.48,15.36
2010-09,PETRO,16.93,14.67
